product_id,manufacturer,product_family,variant_name,launch_or_public_year,target_segments,refrigerant,displacement_cc_rev,voltage_min_vdc,voltage_max_vdc,speed_min_rpm,speed_max_rpm,cooling_capacity_kw,heating_capacity_kw,electric_power_peak_kw,electric_power_continuous_kw,mass_kg,length_mm,diameter_mm,communication,application_summary,source_quality,confidence,primary_source_id,notes
SANDEN_SEE27,Sanden,SEE,SEE27,2023,"Passenger_Car_BEV_xEV|Special_Purpose",R134a/R1234yf,27,155,460,1000,5100,4,,,,6.2,245,112,LIN,"HV e-compressor for electrified vehicle and niche applications",A,high,SA02,
SANDEN_SHS33_GEN2,Sanden,SHS,SHS33 Gen2 288V,2023,"Passenger_Car_BEV_xEV|Special_Purpose",R134a/R1234yf,33,165,432,700,8500,5,,,,6.5,233,146,CAN/LIN,"Gen2 33cc unit",A,high,SA03,
SANDEN_SHS33_GEN3,Sanden,SHS,SHS33 Gen3 288V,2023,"Passenger_Car_BEV_xEV|Special_Purpose",R134a/R1234yf,33,165,470,800,8500,5,,,,6.1,233,142,LIN,"Gen3 33cc unit",A,high,SA04,
SANDEN_SHS45_400,Sanden,SHS,SHS45 400V,2023,"Passenger_Car_BEV_xEV",R134a/R1234yf,45,260,470,600,8500,10,,,,7.4,254,207,LIN,"Large-capacity 45cc compressor",A,high,SA05,
SANDEN_SEE45_400_800,Sanden,SEE,SEE45 400V/800V,2023,"Passenger_Car_BEV_xEV",R134a/R1234yf,45,170,910,800,8500,10,,,,7.3,239,137,CAN/LIN,"Current 45cc family spanning 400V and 800V classes",A,high,SA06,"Public source gives dual min/max pairs 170/350V and 500/910V"
SANDEN_SEE33_400_800,Sanden,SEE,SEE33 400V/800V,2023,"Passenger_Car_BEV_xEV",R134a/R1234yf,33,170,900,800,8500,5,,,,6.3,263,139,CAN/LIN,"Current 33cc family spanning 400V and 800V classes",A,high,SA07,"Public source gives dual min/max pairs 170/350V and 490/900V"
MAHLE_HV_57CC_900V,MAHLE,HV e-compressor,Current HV e-compressor,2022,"Passenger_Car_BEV_xEV|LCV|MD_HD_Truck|Bus_Coach",,57,,900,,,,,18,,,"","","","All vehicle classes from passenger cars to heavy commercial vehicles",B,high,MA01,"Official public claim is up to 900V, up to 57cm3, 18kW peak"
VALEO_TME34_400V,Valeo,Electrical Compressor,TME34,2024,"Passenger_Car_BEV_xEV",R134a/R1234yf,33.5,200,470,600,9000,,,,,6.3,205,123,LIN,"Cabin, battery cooling and heat pump",A,high,VA02,
VALEO_EDC45_400V,Valeo,Electrical Compressor,45cc 400V,2024,"Passenger_Car_BEV_xEV",,45,400,400,,,,,,,6.6,235,128,,"Current Valeo nominal 45cc 400V offer",B,medium,VA01,"Official page gives nominal voltage and package dimensions"
VALEO_EDC45_800V,Valeo,Electrical Compressor,45cc 800V,2024,"Passenger_Car_BEV_xEV",,45,800,800,,,,,,,6.6,235,128,,"Current Valeo nominal 45cc 800V offer",B,medium,VA01,"Official page gives nominal voltage and package dimensions"
